date,price
2021-01-01,32782.02446581
2021-01-02,31971.91352155
2021-01-03,32782.02446581
2021-01-04,31971.91352155
2021-01-05,33992.42934365
2021-01-06,36824.36441009
2021-01-07,39371.04235311
2021-01-08,40797.61071993
2021-01-09,40254.54649816
2021-01-10,38356.43950662
2021-01-11,35566.65594049
2021-01-12,33922.9605815
2021-01-13,37316.35077967
2021-01-14,39187.32752641
2021-01-15,36845.09887074
2021-01-16,36178.14050789
2021-01-17,35791.27577908
2021-01-18,36630.08396083
2021-01-19,36069.80368288
2021-01-20,35547.75246338
2021-01-21,30825.69920178
2021-01-22,33005.76488169
2021-01-23,32067.64276408
2021-01-24,32289.37928681
2021-01-25,32366.39250388
2021-01-26,32569.85106862
2021-01-27,30432.54586243
2021-01-28,33466.09090161
2021-01-29,34316.38900442
2021-01-30,34269.52196764
2021-01-31,33114.35908431
2021-02-01,33537.17938515
2021-02-02,35510.28388197
2021-02-03,37472.09298621
2021-02-04,36926.06581497
2021-02-05,38144.31213676
2021-02-06,39266.01000916
2021-02-07,38903.44189712
2021-02-08,46196.46844293
2021-02-09,46481.10512249
2021-02-10,44918.18517085
2021-02-11,47909.32388763
2021-02-12,47505.39228514
2021-02-13,47105.4161034
2021-02-14,48717.28750724
2021-02-15,47945.06315531
2021-02-16,49199.87233551
2021-02-17,52149.01063069
2021-02-18,51679.79618977
2021-02-19,55888.13136931
2021-02-20,56099.51678739
2021-02-21,58053.76993744
2021-02-22,54207.32053985
2021-02-23,48824.42640819
2021-02-24,49705.33233522
2021-02-25,47093.85158483
2021-02-26,46339.76001513
2021-02-27,46188.35060746
2021-02-28,45137.769875
2021-03-01,49631.24344191
2021-03-02,48378.98477641
2021-03-03,50538.24174511
2021-03-04,48561.16934182
2021-03-05,48927.30173747
2021-03-06,48912.38312866
2021-03-07,50971.91205962
2021-03-08,52247.4087456
2021-03-09,54824.1153488
2021-03-10,56008.55153176
2021-03-11,57805.12363669
2021-03-12,57332.1277851
2021-03-13,61243.08617426
2021-03-14,59302.32196728
2021-03-15,55907.20308164
2021-03-16,56804.90120421
2021-03-17,58870.89585537
2021-03-18,57858.92235248
2021-03-19,58119.6371495
2021-03-20,58313.64349607
2021-03-21,57523.42294766
2021-03-22,54322.91179437
2021-03-23,54739.91611632
2021-03-24,52507.31555226
2021-03-25,51704.13473685
2021-03-26,55033.00174516
2021-03-27,55974.94060909
2021-03-28,55950.74643387
2021-03-29,57750.19966898
2021-03-30,58917.69927143
2021-03-31,58918.83344307
2021-04-01,59095.80968781
2021-04-02,59384.33557868
2021-04-03,57604.84163407
2021-04-04,58760.73740048
2021-04-05,59057.
2021-04-06,58192.35910596
2021-04-07,56048.9494244
2021-04-08,58323.95482179
2021-04-09,58245.01488808
2021-04-10,59793.23380533
2021-04-11,60204.96912919
2021-04-12,59893.45131797
2021-04-13,63503.45785311
2021-04-14,62974.69384734
2021-04-15,63314.01406257
2021-04-16,61572.79833141
2021-04-17,60683.82161808
2021-04-18,56191.58553462
2021-04-19,55724.26648972
2021-04-20,56473.03093893
2021-04-21,53906.08807533
2021-04-22,51750.02488783
2021-04-23,51093.65514774
2021-04-24,50051.1606373
2021-04-25,49004.25318094
2021-04-26,54021.75147914
2021-04-27,55033.11835754
2021-04-28,54824.99463519
2021-04-29,53555.10955812
2021-04-30,57750.18732939
2021-05-01,57828.05040531
2021-05-02,56631.
2021-05-03,57200.29372091
2021-05-04,53333.54415813
2021-05-05,57424.00744157
2021-05-06,56396.87860447
2021-05-07,57356.40262323
2021-05-08,58803.77810393
2021-05-09,58232.31712836
2021-05-10,55859.80660888
2021-05-11,56704.57002574
2021-05-12,49150.53336876
2021-05-13,49716.1989202
2021-05-14,49880.53246438
2021-05-15,46760.18121151
2021-05-16,46456.05846481
2021-05-17,43537.51196468
2021-05-18,45604.00383718
2021-05-19,37002.43989071
2021-05-20,40783.9839014
2021-05-21,37304.69192302
2021-05-22,37371.03323864
2021-05-23,34770.58205431
2021-05-24,38705.98785537
2021-05-25,38402.22553292
2021-05-26,39294.19935635
2021-05-27,38436.97361139
2021-05-28,35697.60738231
2021-05-29,34616.06600397
2021-05-30,35678.129456
2021-05-31,37332.85499482
2021-06-01,36684.92400069
2021-06-02,37575.17850828
2021-06-03,39208.76586985
2021-06-04,36894.40595923
2021-06-05,35552.25136634
2021-06-06,35862.38026954
2021-06-07,33560.70761004
2021-06-08,33472.63404274
2021-06-09,37380.21210426
2021-06-10,36702.5929264
2021-06-11,37340.14277364
2021-06-12,35552.51853577
2021-06-13,39097.85950834
2021-06-14,40427.16252027
2021-06-15,40168.68493294
2021-06-16,38347.28019685
2021-06-17,38053.50464845
2021-06-18,35786.73219921
2021-06-19,35615.87329047
2021-06-20,35698.30477134
2021-06-21,31676.69723851
2021-06-22,32505.66154122
2021-06-23,33723.02897056
2021-06-24,34662.43402168
2021-06-25,31637.83248854
2021-06-26,32186.2787033
2021-06-27,34649.60749573
2021-06-28,34434.34284426
2021-06-29,35867.77417411
2021-06-30,35040.83702429
2021-07-01,33572.09181068
2021-07-02,33897.04398912
2021-07-03,34668.2509282
2021-07-04,35287.96322036
2021-07-05,33746.02283259
2021-07-06,34235.19380631
2021-07-07,33855.91399296
2021-07-08,32877.37199724
2021-07-09,33798.01066434
2021-07-10,33520.51953912
2021-07-11,34240.16731062
2021-07-12,33155.
2021-07-13,32702.10841534
2021-07-14,32822.35544646
2021-07-15,31780.73748604
2021-07-16,31421.54945976
2021-07-17,31533.97821347
2021-07-18,31796.81344443
2021-07-19,30817.83242782
2021-07-20,29807.34959692
2021-07-21,32110.69857221
2021-07-22,32313.10789644
2021-07-23,33581.57770353
2021-07-24,33582.00429257
2021-07-25,34290.61281481
2021-07-26,37337.54137422
2021-07-27,39406.93758965
2021-07-28,39995.90870074
2021-07-29,40008.42375283
2021-07-30,42235.55491879
2021-07-31,41626.19791748
2021-08-01,39974.89620398
2021-08-02,39201.93532756
2021-08-03,38152.9866113
2021-08-04,39748.10319052
2021-08-05,40870.88917189
2021-08-06,42836.83408466
2021-08-07,44555.11514022
2021-08-08,43798.11918055
2021-08-09,46365.53423282
2021-08-10,45585.05422597
2021-08-11,45593.93946546
2021-08-12,44428.29591145
2021-08-13,47793.32288944
2021-08-14,47096.90291246
2021-08-15,47047.00128443
2021-08-16,46012.1613159
2021-08-17,44695.43011366
2021-08-18,44801.18804883
2021-08-19,46717.57629776
2021-08-20,49339.01848895
2021-08-21,48905.49122438
2021-08-22,49321.65293975
2021-08-23,49546.1482363
2021-08-24,47706.11959282
2021-08-25,48960.88113625
2021-08-26,46892.65105285
2021-08-27,49058.46195316
2021-08-28,48902.38642513
2021-08-29,48829.28675189
2021-08-30,47054.20788522
2021-08-31,47166.6945197
2021-09-01,48847.02691661
2021-09-02,49327.84185042
2021-09-03,50025.37058638
2021-09-04,49945.97617376
2021-09-05,51753.41186114
2021-09-06,52634.32287464
2021-09-07,46811.128996
2021-09-08,46091.08396846
2021-09-09,46391.60176508
2021-09-10,44878.99452673
2021-09-11,45208.73306249
2021-09-12,46063.15249242
2021-09-13,44964.53236915
2021-09-14,47092.39164711
2021-09-15,48176.35479291
2021-09-16,47783.36369121
2021-09-17,47334.61347504
2021-09-18,48278.12294775
2021-09-19,47260.33100677
2021-09-20,42843.08165448
2021-09-21,40693.67757293
2021-09-22,43574.50594602
2021-09-23,44895.87505593
2021-09-24,42838.77607847
2021-09-25,42715.22929378
2021-09-26,43208.19687197
2021-09-27,42192.33425864
2021-09-28,41034.54211935
2021-09-29,41564.15051292
2021-09-30,43790.89725603
2021-10-01,48116.84343247
2021-10-02,47684.6644472
2021-10-03,48199.95393121
2021-10-04,49112.90477506
2021-10-05,51514.76279859
2021-10-06,55361.94301377
2021-10-07,53805.74487037
2021-10-08,53968.45466456
2021-10-09,55013.10478978
2021-10-10,54771.58122998
2021-10-11,57485.04823505
2021-10-12,56041.07178532
2021-10-13,57380.91648026
2021-10-14,57329.07861107
2021-10-15,61599.65058751
