date,price
2021-01-01,737.20672912
2021-01-02,790.86763251
2021-01-03,975.50767291
2021-01-04,1040.23304833
2021-01-05,1100.00609944
2021-01-06,1207.11223389
2021-01-07,1225.67813488
2021-01-08,1224.19714489
2021-01-09,1281.07729102
2021-01-10,1262.24666381
2021-01-11,1090.14537315
2021-01-12,1043.43458391
2021-01-13,1130.73940242
2021-01-14,1218.45297846
2021-01-15,1171.83461074
2021-01-16,1233.53756838
2021-01-17,1230.17227237
2021-01-18,1257.27950247
2021-01-19,1377.29584154
2021-01-20,1382.27409433
2021-01-21,1121.57091957
2021-01-22,1236.51220729
2021-01-23,1230.99063605
2021-01-24,1391.60940757
2021-01-25,1324.414778
2021-01-26,1357.0581398
2021-01-27,1253.18713315
2021-01-28,1332.49224455
2021-01-29,1382.52281244
2021-01-30,1376.11553895
2021-01-31,1314.9862286
2021-02-01,1369.04046855
2021-02-02,1515.19376962
2021-02-03,1660.909542
2021-02-04,1594.76269414
2021-02-05,1718.65087218
2021-02-06,1677.84684697
2021-02-07,1614.22782334
2021-02-08,1746.61684904
2021-02-09,1768.03501655
2021-02-10,1744.24343196
2021-02-11,1783.79795026
2021-02-12,1843.53258814
2021-02-13,1814.10985253
2021-02-14,1805.08404652
2021-02-15,1779.79097807
2021-02-16,1781.06747722
2021-02-17,1848.4582725
2021-02-18,1937.44925643
2021-02-19,1960.16474353
2021-02-20,1919.5340028
2021-02-21,1935.60106022
2021-02-22,1781.99297558
2021-02-23,1570.20392529
2021-02-24,1626.57570543
2021-02-25,1475.70373513
2021-02-26,1446.0336503
2021-02-27,1459.97312093
2021-02-28,1416.0489059
2021-03-01,1564.70764686
2021-03-02,1492.60881427
2021-03-03,1575.85312451
2021-03-04,1541.91428551
2021-03-05,1533.27497556
2021-03-06,1654.74151694
2021-03-07,1723.15379607
2021-03-08,1834.72788609
2021-03-09,1868.04878133
2021-03-10,1799.16622355
2021-03-11,1826.19498661
2021-03-12,1772.10247833
2021-03-13,1924.68543997
2021-03-14,1854.56437805
2021-03-15,1791.70230241
2021-03-16,1806.9717631
2021-03-17,1823.44937973
2021-03-18,1782.85512445
2021-03-19,1817.62409241
2021-03-20,1812.63460132
2021-03-21,1788.21700883
2021-03-22,1691.33401831
2021-03-23,1678.65013849
2021-03-24,1593.4134567
2021-03-25,1595.359192
2021-03-26,1702.84201957
2021-03-27,1716.49461243
2021-03-28,1691.35596451
2021-03-29,1819.68496282
2021-03-30,1846.03369779
2021-03-31,1918.36206064
2021-04-01,1977.27688844
2021-04-02,2143.22563228
2021-04-03,2028.4224386
2021-04-04,2093.12285275
2021-04-05,2107.88709669
2021-04-06,2118.37895913
2021-04-07,1971.07725542
2021-04-08,2088.57365088
2021-04-09,2072.10887563
2021-04-10,2135.9422007
2021-04-11,2157.65703708
2021-04-12,2139.35319598
2021-04-13,2299.18778599
2021-04-14,2435.10501889
2021-04-15,2519.11610012
2021-04-16,2431.94650379
2021-04-17,2344.89498097
2021-04-18,2237.13702776
2021-04-19,2166.1887655
2021-04-20,2330.21093719
2021-04-21,2364.75182249
2021-04-22,2403.53524134
2021-04-23,2363.58620073
2021-04-24,2211.62580802
2021-04-25,2316.05965928
2021-04-26,2534.4817987
2021-04-27,2662.86524559
2021-04-28,2746.38005291
2021-04-29,2756.87699416
2021-04-30,2773.20713193
2021-05-01,2945.89270802
2021-05-02,2952.05605494
2021-05-03,3431.08613981
2021-05-04,3253.62947001
2021-05-05,3522.78318978
2021-05-06,3490.88045894
2021-05-07,3484.72889546
2021-05-08,3902.64773368
2021-05-09,3928.84470583
2021-05-10,3952.29387234
2021-05-11,4168.70104865
2021-05-12,3785.84860304
2021-05-13,3715.14846639
2021-05-14,4079.05745857
2021-05-15,3638.12204192
2021-05-16,3587.50620646
2021-05-17,3282.39779583
2021-05-18,3380.0700925
2021-05-19,2460.67920048
2021-05-20,2784.29415835
2021-05-21,2430.62138539
2021-05-22,2295.70565666
2021-05-23,2109.57985208
2021-05-24,2643.5909947
2021-05-25,2706.62898111
2021-05-26,2888.69868104
2021-05-27,2736.48858585
2021-05-28,2419.90629016
2021-05-29,2279.51417661
2021-05-30,2390.305302
2021-05-31,2714.94534372
2021-06-01,2633.51841662
2021-06-02,2706.12497095
2021-06-03,2855.12653096
2021-06-04,2688.19499931
2021-06-05,2630.57680077
2021-06-06,2715.09266119
2021-06-07,2590.26330395
2021-06-08,2517.43862412
2021-06-09,2608.26698585
2021-06-10,2471.51867508
2021-06-11,2353.76868661
2021-06-12,2372.48445358
2021-06-13,2508.39163246
2021-06-14,2537.8911584
2021-06-15,2610.93672749
2021-06-16,2367.6634963
2021-06-17,2372.00202359
2021-06-18,2231.73314201
2021-06-19,2178.49913873
2021-06-20,2246.36453295
2021-06-21,1888.44749682
2021-06-22,1874.95002135
2021-06-23,1989.73627073
2021-06-24,1988.45627579
2021-06-25,1813.21723241
2021-06-26,1829.23921725
2021-06-27,1978.89466209
2021-06-28,2079.65743586
2021-06-29,2160.76835244
2021-06-30,2274.54771264
2021-07-01,2113.60552345
2021-07-02,2150.04036404
2021-07-03,2226.11428196
2021-07-04,2321.72411157
2021-07-05,2198.58246387
2021-07-06,2324.67944917
2021-07-07,2315.16197531
2021-07-08,2120.02634294
2021-07-09,2146.69232351
2021-07-10,2111.40345618
2021-07-11,2139.66474161
2021-07-12,2036.72101006
2021-07-13,1940.08396596
2021-07-14,1994.33133747
2021-07-15,1911.17561568
2021-07-16,1880.38298492
2021-07-17,1898.82521323
2021-07-18,1895.5521368
2021-07-19,1817.29665658
2021-07-20,1787.51071384
2021-07-21,1990.97088199
2021-07-22,2025.20278418
2021-07-23,2124.77667106
2021-07-24,2189.21874674
2021-07-25,2191.37373048
2021-07-26,2233.36662352
2021-07-27,2298.33346431
2021-07-28,2296.54549893
2021-07-29,2380.95675344
2021-07-30,2466.96151071
2021-07-31,2536.21003475
2021-08-01,2561.85215266
2021-08-02,2610.15342227
2021-08-03,2502.3495771
2021-08-04,2724.61989291
2021-08-05,2827.32894604
2021-08-06,2890.9417282
2021-08-07,3157.23877128
2021-08-08,3013.73275583
2021-08-09,3167.85622304
2021-08-10,3141.69117023
2021-08-11,3164.24504575
2021-08-12,3043.41434022
2021-08-13,3322.21175551
2021-08-14,3265.44335714
2021-08-15,3310.50417134
2021-08-16,3156.50942728
2021-08-17,3014.84603892
2021-08-18,3020.08992003
2021-08-19,3182.70222539
2021-08-20,3286.93532606
2021-08-21,3226.08393694
2021-08-22,3242.11555659
2021-08-23,3319.25727377
2021-08-24,3172.45639017
2021-08-25,3224.91517738
2021-08-26,3100.32543567
